frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma
393,1,2.001,0.762,17.783,80.207,80.207,15.79,33.573
394,1,1.874,0.82,12.978,80.318,80.318,11.589,24.567
395,1,1.461,1.012,12.821,82.394,82.394,9.452,22.273
396,1,1.86,0.882,15.25,79.117,79.117,2.252,17.502
397,1,1.766,0.776,13.182,69.199,69.199,-0.186,12.996
398,1,1.764,0.968,15.94,68.72,68.72,-3.218,12.722
399,1,1.556,1.028,17.682,66.929,66.929,-3.179,14.502999999999998
400,1,1.573,0.971,21.059,70.846,70.846,-6.194,14.865000000000002
401,1,1.44,0.946,27.899,65.716,65.716,-5.087,22.812
402,1,1.603,0.899,23.77,66.377,66.377,-4.962,18.808
403,1,1.815,0.942,22.019,70.28,70.28,4.441,26.459999999999997
404,1,1.576,0.832,16.89,68.303,68.303,12.982,29.872
405,1,1.737,0.868,19.245,71.502,71.502,11.428,30.673000000000002
406,1,1.73,0.853,22.823,73.478,73.478,11.949,34.772
407,1,1.8,0.905,16.422,75.933,75.933,15.639,32.061
408,1,2.092,0.758,23.502,67.876,67.876,9.019,32.521
409,1,2.207,0.753,26.557,73.179,73.179,3.854,30.410999999999998
410,1,2.002,0.802,22.976,66.253,66.253,-0.051,22.925
