frame,ok,h1_rmsd,h2_rmsd,alpha,beta,abs_beta,gamma,zeta_alpha_plus_gamma,replicate,sas_rdc_rmsd,selection_rank
136,1,2.242,0.883,26.501000000000005,68.75900000000001,68.759,-6.778999999999996,19.72200000000001,8,1.891,16
33290,1,2.034,0.842,34.101,78.77100000000002,78.771,7.299000000000007,41.400000000000006,8,1.891,17
49886,1,1.121,1.1,-38.12700000000001,7.324999999999989,7.325,30.447000000000003,-7.680000000000007,8,1.891,18
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,8,1.891,19
24419,1,1.312,1.65,-31.502999999999986,58.545000000000016,58.545,-7.628999999999991,-39.132000000000005,8,1.891,20
21292,1,0.819,1.504,-17.64500000000001,56.486999999999995,56.487,-17.865999999999985,-35.510999999999996,9,1.898,1
45349,1,0.858,1.219,52.774,39.891999999999996,39.892,-45.29399999999998,7.480000000000018,9,1.898,2
136,1,2.242,0.883,26.501000000000005,68.75900000000001,68.759,-6.778999999999996,19.72200000000001,9,1.898,3
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,9,1.898,4
39542,1,0.934,1.237,6.395999999999987,13.772999999999996,13.773,4.153999999999996,10.550000000000011,9,1.898,5
2894,1,1.885,0.765,-32.328,21.341000000000008,21.341,1.240000000000009,-31.087999999999994,9,1.898,6
33290,1,2.034,0.842,34.101,78.77100000000002,78.771,7.299000000000007,41.400000000000006,9,1.898,7
131,1,2.64,1.265,45.807000000000016,65.184,65.184,36.649,82.45600000000002,9,1.898,8
32294,1,1.395,0.796,-67.565,35.197,35.197,28.068000000000012,-39.497000000000014,9,1.898,9
15964,1,0.902,0.589,-32.02000000000001,-11.790999999999997,11.791,45.56200000000001,13.542000000000002,9,1.898,10
44197,1,1.289,0.888,28.951999999999998,97.82100000000003,97.821,56.48599999999999,85.43799999999999,9,1.898,11
32725,1,1.433,0.735,-26.454999999999984,68.53399999999999,68.534,-0.5459999999999923,-27.001000000000005,9,1.898,12
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,9,1.898,13
6031,1,4.271,0.747,59.906000000000006,73.519,73.519,15.211000000000013,75.11700000000002,9,1.898,14
10498,1,1.271,1.304,-35.62299999999999,91.98699999999997,91.987,12.830999999999989,-22.792,9,1.898,15
38465,1,1.035,0.592,-6.26400000000001,53.888000000000005,53.888,-36.721000000000004,-42.985000000000014,9,1.898,16
46713,1,0.963,1.133,-20.212999999999994,87.40199999999999,87.402,-12.139999999999986,-32.35300000000001,9,1.898,17
21059,1,1.196,1.54,-26.536,34.28999999999999,34.29,-12.888000000000005,-39.42400000000001,9,1.898,18
175,1,1.103,0.963,-19.05000000000001,60.670000000000016,60.67,19.742999999999995,0.6929999999999836,9,1.898,19
1986,1,1.265,0.952,-11.318000000000012,85.96199999999999,85.962,-15.22399999999999,-26.542,9,1.898,20
43121,1,1.356,0.979,27.468999999999994,90.52600000000001,90.526,56.02600000000001,83.495,10,1.902,1
45291,1,1.226,1.488,-26.85499999999999,47.629999999999995,47.63,-5.299000000000007,-32.153999999999996,10,1.902,2
46715,1,1.118,0.937,-14.995000000000005,81.29599999999999,81.296,-9.084000000000003,-24.079000000000008,10,1.902,3
33296,1,2.047,0.721,45.111999999999995,76.06600000000003,76.066,10.436000000000007,55.548,10,1.902,4
211,1,2.567,0.914,19.51400000000001,62.307000000000016,62.307,46.845,66.35899999999998,10,1.902,5
34913,1,1.246,1.091,10.949000000000012,73.97399999999999,73.974,-14.87100000000001,-3.921999999999997,10,1.902,6
16918,1,1.721,1.058,-8.245000000000005,82.30099999999999,82.301,11.068999999999988,2.8240000000000123,10,1.902,7
15953,1,1.005,0.852,-25.456999999999994,-9.431000000000012,9.431,45.00399999999999,19.546999999999997,10,1.902,8
10780,1,3.047,1.027,-33.885999999999996,101.108,101.108,84.73199999999997,50.846000000000004,10,1.902,9
46402,1,1.404,0.968,-31.167,58.80500000000001,58.805,-0.8660000000000139,-32.033000000000015,10,1.902,10
28498,1,1.081,1.42,-22.307999999999993,43.18299999999999,43.183,-14.232,-36.53999999999999,10,1.902,11
32226,1,0.959,1.034,-58.535,29.256,29.256,19.091999999999985,-39.442999999999984,10,1.902,12
6996,1,1.498,1.001,-22.228999999999985,60.53,60.53,-7.358000000000004,-29.58699999999999,10,1.902,13
45483,1,0.76,0.89,-26.550999999999988,5.069999999999993,5.07,17.851,-8.699999999999989,10,1.902,14
22101,1,2.277,0.551,68.156,40.43700000000001,40.437,-50.40299999999999,17.753000000000014,10,1.902,15
6014,1,3.912,0.567,56.46800000000002,76.80399999999997,76.804,2.9850000000000136,59.453,10,1.902,16
10274,1,1.25,0.843,37.39699999999999,7.841000000000008,7.841,-24.04400000000001,13.353000000000009,10,1.902,17
15960,1,0.909,0.771,-72.543,-9.84899999999999,9.849,83.452,10.908999999999992,10,1.902,18
439,1,0.913,0.757,10.225999999999999,55.595,55.595,-19.63300000000001,-9.40700000000001,10,1.902,19
41092,1,1.28,0.645,-5.153999999999996,51.536,51.536,-44.959,-50.113,10,1.902,20
7535,1,1.147,0.932,-0.20400000000000773,40.795000000000016,40.795,-37.480999999999995,-37.685,11,1.903,1
7077,1,0.616,0.855,-40.259000000000015,16.53200000000001,16.532,39.266999999999996,-0.9919999999999902,11,1.903,2
33290,1,2.034,0.842,34.101,78.77100000000002,78.771,7.299000000000007,41.400000000000006,11,1.903,3
43120,1,1.289,0.888,28.951999999999998,97.82100000000003,97.821,56.48599999999999,85.43799999999999,11,1.903,4
4765,1,1.125,0.904,-49.283000000000015,75.91399999999999,75.914,19.439999999999998,-29.84299999999999,11,1.903,5
46715,1,1.118,0.937,-14.995000000000005,81.29599999999999,81.296,-9.084000000000003,-24.079000000000008,11,1.903,6
